"id","item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_31","item_32","item_33","item_34","item_35","item_36","item_37","item_38","item_39","item_40","item_41","item_42","item_43","item_44","item_45","item_46","item_47","item_48","item_49","item_50","item_51","item_52","item_53","item_54","item_55","item_56","item_57","item_58","item_59","item_60","item_61","item_62","item_63","item_64","item_65","item_66","item_67","item_68","item_69","item_70","item_71","item_72","item_73","item_74","item_75","item_76","item_77","item_78","item_79","item_80","item_81","item_82","item_83","item_84","item_85","item_86","item_87","item_88","item_89","item_90","item_91","item_92","item_93","item_94","item_95","item_96","item_97","item_98","item_99","item_100"
"R065",4,4,4,3,4,2,3,4,2,5,4,3,4,4,4,3,2,5,4,3,5,5,5,4,4,2,3,3,4,3,4,4,4,4,4,2,3,5,4,5,4,4,4,5,4,4,2,5,4,4,4,5,4,3,3,4,5,4,4,4,2,4,4,4,4,2,4,4,2,4,3,4,2,4,4,2,3,5,5,3,4,5,4,2,2,2,3,4,4,1,3,4,5,4,4,2,4,5,4,5
"R066",4,5,5,4,3,2,3,4,3,4,2,4,4,5,4,2,5,4,3,3,4,3,3,2,2,3,5,4,4,4,1,4,4,4,4,3,4,5,3,2,2,4,4,4,4,3,4,3,2,4,4,3,5,2,2,2,5,2,4,2,2,4,5,4,3,4,4,4,4,3,2,4,5,5,2,2,5,5,2,4,4,4,5,2,2,4,5,2,2,2,4,4,4,4,4,2,3,4,4,3
"R067",4,3,4,4,4,3,4,4,2,5,3,4,5,5,5,4,4,2,4,4,4,3,5,5,2,3,5,3,2,5,5,3,3,4,5,5,5,4,5,4,2,4,4,4,4,4,3,4,1,5,2,3,3,4,2,2,4,5,5,4,4,3,2,4,4,4,5,5,3,5,2,4,3,4,4,4,2,2,5,4,4,4,4,4,4,2,5,1,5,4,1,4,3,4,5,1,5,4,3,4
"R068",2,2,5,4,4,1,2,5,5,1,2,3,4,4,2,2,3,5,3,3,2,3,5,3,1,1,3,5,5,3,2,3,4,3,4,2,2,5,3,2,4,2,4,4,5,4,3,5,5,4,5,5,5,3,3,2,5,4,5,4,1,2,5,3,4,1,4,5,4,2,1,3,3,5,3,5,5,5,4,3,2,4,4,2,2,1,5,4,4,2,2,3,5,1,4,2,4,5,5,1
"R069",4,4,3,4,3,4,3,2,4,4,2,4,3,5,4,2,3,4,3,4,3,4,4,3,4,2,3,1,1,4,4,3,3,4,3,2,5,4,4,4,1,4,3,4,4,3,4,4,2,4,5,5,3,3,4,3,5,2,4,3,2,4,3,3,3,4,5,4,3,4,1,4,3,5,3,3,4,4,3,4,5,5,3,4,3,2,3,3,3,3,4,4,3,3,4,2,2,4,2,4
"R070",5,3,3,4,4,4,1,2,5,5,3,3,4,4,4,3,3,4,2,4,3,4,3,5,5,3,3,4,4,4,4,5,3,4,4,5,2,5,4,5,3,3,3,4,4,4,3,5,4,5,3,2,2,3,4,3,2,2,4,4,2,1,4,4,3,2,1,4,4,5,3,3,4,4,3,4,2,4,5,3,4,2,3,5,4,3,1,4,3,5,3,2,4,4,4,2,1,5,5,5
"R071",4,5,5,4,4,3,5,5,5,4,3,4,3,5,5,2,3,4,4,4,3,4,4,2,3,3,4,3,4,4,3,3,3,2,4,3,4,5,5,3,3,4,4,3,4,4,3,4,4,4,2,4,4,3,3,2,4,2,5,4,1,4,3,3,4,2,4,3,4,3,2,3,4,5,4,1,3,5,4,3,2,4,3,4,3,2,2,3,3,3,3,4,2,3,4,3,4,2,4,4
"R072",5,3,5,2,4,5,1,5,3,2,5,3,5,3,3,3,3,4,2,3,4,4,4,5,3,3,1,4,4,3,5,3,5,1,4,5,1,5,3,3,5,3,3,3,3,5,3,5,5,4,5,4,5,3,3,5,3,1,4,4,4,1,5,2,3,4,1,5,3,4,5,5,3,3,4,4,3,4,5,3,2,4,5,3,4,3,4,4,3,3,5,2,5,3,3,5,3,2,4,2
"R073",2,4,4,4,4,2,4,4,4,4,2,4,3,4,4,2,4,4,4,4,2,4,4,2,4,2,4,3,4,4,2,4,4,4,4,2,4,4,3,4,2,4,4,4,4,3,4,4,4,4,2,4,4,3,4,2,4,4,5,4,2,4,4,4,3,2,4,4,2,4,2,4,4,4,4,2,4,4,4,4,3,4,4,2,2,2,4,3,2,2,2,4,4,4,4,2,3,4,3,3
"R074",4,5,4,4,2,2,3,3,1,4,4,2,4,3,4,4,2,3,4,2,5,4,4,4,1,4,3,3,3,4,4,3,3,4,2,2,2,5,4,2,4,2,2,4,4,5,5,3,4,2,5,3,1,5,4,2,2,5,2,4,4,3,4,4,2,3,4,3,3,4,4,2,1,4,5,4,2,2,4,2,2,5,3,4,2,4,4,4,2,1,3,4,4,4,3,2,1,3,3,2
"R075",2,5,4,5,4,1,5,5,3,4,4,2,4,5,4,1,4,4,5,5,4,5,5,3,2,1,4,3,4,4,1,5,4,4,4,1,5,5,3,4,4,4,5,5,5,5,5,5,5,4,4,5,4,5,2,1,5,4,5,5,1,5,4,4,4,1,5,4,2,2,3,4,5,5,5,1,4,5,5,4,4,4,4,5,2,3,4,2,3,2,1,5,2,4,4,1,4,4,3,2
"R076",1,4,2,4,3,1,2,3,5,3,3,2,2,3,3,4,1,2,3,2,1,3,2,4,1,2,1,3,4,4,2,2,1,3,2,3,1,2,2,3,1,3,2,1,3,1,1,3,5,3,2,1,2,4,2,2,1,4,4,2,2,2,2,4,3,2,4,2,5,2,2,1,2,1,4,4,2,3,2,3,2,2,4,1,1,1,1,4,4,2,1,2,2,4,2,3,1,1,5,3
"R077",3,3,5,3,4,3,3,5,5,3,3,4,5,4,3,2,3,3,4,3,3,4,5,2,3,1,3,3,4,4,2,4,5,3,4,4,3,5,3,3,3,3,3,4,4,3,3,4,4,4,2,5,5,3,4,3,5,1,4,3,1,4,5,4,4,4,2,5,4,3,2,4,5,4,4,4,4,5,5,5,2,3,4,1,4,2,5,3,3,3,2,4,5,3,4,2,4,4,4,3
"R078",3,5,4,4,4,1,2,4,3,5,2,4,3,5,5,1,5,5,5,5,4,5,5,2,3,1,5,3,3,2,2,5,5,4,5,1,5,4,5,4,2,5,5,5,5,2,5,5,1,5,2,5,3,2,3,1,5,4,4,4,5,5,5,2,4,1,5,5,2,4,1,4,4,4,5,1,5,5,5,5,2,5,5,2,4,1,5,2,4,4,1,5,5,3,5,1,4,4,4,4
"R079",5,4,4,4,3,3,4,5,4,4,3,4,5,4,4,4,4,3,3,2,5,4,3,3,2,4,5,5,5,4,5,4,5,5,4,3,3,5,4,4,2,4,5,5,4,4,4,4,4,3,4,2,3,2,2,4,5,4,5,3,4,3,5,5,4,3,4,5,4,5,2,3,4,4,3,4,4,4,5,4,4,3,4,4,3,2,5,5,5,4,5,4,5,4,4,2,4,5,4,4
"R080",4,1,5,2,2,1,4,3,5,4,4,1,5,2,5,4,1,4,5,1,3,5,1,2,2,1,1,2,4,3,3,2,5,4,3,3,2,5,4,3,2,1,4,3,5,3,2,4,4,3,3,2,2,2,4,3,3,4,4,3,3,3,5,4,3,3,4,4,5,3,4,3,3,4,3,4,2,2,4,1,2,4,3,5,2,2,3,1,3,2,3,3,4,4,3,2,1,3,5,3
"R081",5,4,4,2,4,5,3,3,4,5,5,5,5,4,4,3,5,2,4,5,2,2,4,2,1,5,4,3,4,5,5,4,3,2,4,5,3,5,5,5,4,5,5,4,2,5,5,4,2,5,5,2,5,4,5,5,3,1,4,1,4,3,2,1,4,5,5,5,4,5,5,5,5,4,3,3,5,5,2,5,5,2,4,2,4,5,5,1,1,5,5,4,3,1,5,5,4,3,3,5
"R082",4,2,5,3,2,3,4,2,1,4,4,2,5,4,3,4,2,4,4,3,2,4,3,3,2,2,3,5,3,2,4,3,5,3,3,4,3,5,2,1,4,2,2,3,2,4,2,5,4,2,4,4,3,3,2,3,4,2,4,4,4,4,5,3,4,2,4,5,4,3,4,3,3,4,1,3,3,2,3,2,3,4,3,4,1,2,2,1,3,2,2,4,5,3,4,3,3,4,4,3
"R083",2,2,3,4,4,4,1,4,2,4,2,2,3,2,4,4,2,3,3,4,3,2,4,3,1,4,2,3,2,4,4,2,3,4,3,4,1,4,4,4,4,2,4,3,4,4,2,4,5,2,2,2,3,2,4,2,3,4,4,4,3,3,4,4,3,3,2,4,2,5,2,2,2,2,5,4,2,2,4,4,3,2,4,2,2,4,1,2,4,4,2,2,4,4,4,4,2,2,2,4
"R084",5,4,4,1,4,4,1,4,2,4,4,4,5,4,5,4,4,5,4,4,4,4,4,2,2,4,4,2,4,4,4,2,4,2,4,2,4,5,5,4,4,4,5,4,4,4,4,5,2,4,4,4,2,2,2,2,2,2,4,2,4,2,4,2,2,4,4,4,4,5,4,2,4,2,5,4,4,4,4,2,5,4,4,4,1,2,4,1,4,2,5,2,4,4,2,4,2,5,4,4
"R085",1,4,4,5,5,4,1,5,5,4,1,1,5,5,4,2,1,5,5,1,1,1,2,5,1,1,5,1,5,2,1,4,3,5,2,4,1,5,4,1,1,1,5,4,4,2,1,4,5,4,1,1,2,3,2,1,5,1,4,2,1,4,3,5,4,4,4,5,5,1,1,1,1,4,5,5,2,5,5,4,2,3,4,1,1,1,5,3,5,5,2,5,4,4,4,1,5,5,5,4
"R086",3,4,4,4,4,3,3,2,4,2,2,3,3,4,3,3,3,4,3,4,2,4,3,2,4,3,4,3,4,3,2,4,4,4,3,3,5,4,3,2,3,3,4,4,4,3,2,4,4,3,3,4,4,3,2,3,4,5,4,4,3,4,4,3,3,3,5,3,2,2,2,4,4,4,3,2,2,4,5,3,4,4,4,2,3,3,4,2,3,2,3,4,4,3,4,3,3,3,2,2
"R087",4,4,5,5,3,3,3,5,4,3,5,5,2,4,3,2,2,5,4,2,1,5,3,2,1,1,3,5,4,2,2,4,5,4,2,5,5,5,4,3,4,5,5,5,4,4,3,5,4,3,5,5,5,5,2,4,2,4,5,5,1,5,5,5,3,2,4,5,4,1,5,5,3,4,4,2,2,5,5,3,5,5,5,1,3,3,2,3,5,1,3,4,5,3,2,4,2,2,5,2
"R088",4,5,5,4,4,1,5,5,3,3,4,3,4,5,5,4,4,5,5,4,4,5,4,3,2,3,5,4,5,3,3,5,5,5,4,1,5,5,4,3,3,3,5,5,5,3,4,5,5,4,4,5,4,5,3,4,5,4,5,4,2,5,5,5,4,2,5,5,3,3,3,5,5,5,2,1,3,4,5,4,4,5,5,5,3,3,5,4,5,4,2,5,4,5,3,1,3,5,4,2
"R089",3,4,5,4,4,4,5,5,3,2,3,4,4,4,3,2,3,5,4,4,3,5,3,1,3,3,3,3,3,4,3,3,5,3,4,3,4,5,3,2,3,4,4,3,4,3,4,5,3,4,4,5,5,3,3,3,5,4,3,4,4,4,5,3,3,3,3,4,2,3,4,4,4,3,3,2,4,5,5,3,4,4,4,2,3,2,4,3,3,3,3,3,4,3,4,3,3,3,3,2
"R090",2,1,1,1,1,3,2,1,2,4,3,2,5,5,5,2,4,4,5,5,3,3,5,2,4,1,4,4,5,4,3,4,3,5,5,3,4,5,4,4,1,3,5,4,5,2,4,4,3,5,3,2,5,3,3,3,5,5,5,4,2,4,4,4,4,2,4,4,5,1,2,3,4,5,5,2,4,5,5,4,3,2,5,2,5,1,3,4,4,5,2,5,4,5,3,2,3,4,5,4
"R091",2,4,4,3,2,1,2,4,5,3,2,4,3,2,4,1,3,4,5,3,4,5,5,1,2,3,4,5,5,3,4,4,5,5,4,2,5,4,3,3,1,2,4,4,5,4,2,4,5,4,3,4,5,1,2,3,4,5,5,3,1,4,5,5,3,1,5,3,4,2,3,2,3,4,5,2,2,4,5,2,2,4,5,1,2,2,4,3,3,3,3,4,5,4,4,2,2,4,5,4
"R092",4,4,5,2,4,3,2,4,4,4,2,3,4,5,4,2,2,4,4,2,3,4,4,4,1,2,4,4,5,2,4,5,5,4,3,4,4,5,2,2,2,3,5,4,3,3,1,5,2,4,4,5,4,4,2,2,4,4,5,3,3,4,5,2,4,3,3,5,2,2,1,4,4,5,5,4,2,5,5,4,4,4,3,4,3,1,4,2,2,2,2,4,5,2,2,1,2,5,4,2
"R093",4,5,5,4,4,5,4,3,4,3,4,4,5,4,4,2,3,4,3,3,2,4,4,2,1,3,4,1,2,4,2,4,4,3,4,5,4,5,4,1,4,4,4,3,4,3,2,4,5,4,5,4,3,3,3,4,4,1,2,2,1,5,4,4,4,5,5,3,4,3,4,4,3,4,3,2,4,5,3,2,4,4,4,2,2,3,3,1,3,3,4,5,4,2,3,3,2,2,5,2
"R094",3,2,5,3,4,2,1,5,4,4,3,4,4,3,3,2,4,5,2,4,3,3,4,4,2,2,3,4,3,4,3,3,4,4,5,3,3,5,2,1,2,4,3,4,4,2,2,3,3,5,2,3,3,1,4,2,4,5,5,4,1,4,3,4,4,2,2,4,4,2,3,4,5,4,4,2,5,5,5,3,3,3,4,1,2,2,3,4,4,4,3,4,5,3,4,2,3,3,4,3
"R095",2,4,3,4,4,3,4,4,5,5,3,4,4,5,4,3,3,3,4,4,3,4,3,1,3,2,4,1,3,4,1,5,3,4,5,4,4,5,4,4,1,4,4,4,4,4,3,4,4,5,4,4,4,4,4,2,4,1,4,4,1,4,3,3,4,3,4,4,4,4,2,3,4,5,4,2,3,4,4,4,3,4,4,3,4,1,4,1,3,4,2,4,4,1,4,1,4,4,5,4
"R096",5,2,5,1,2,4,2,5,1,2,1,5,5,3,5,5,3,1,5,5,1,5,5,1,2,4,3,4,1,3,4,5,5,2,5,5,1,5,4,3,4,5,5,5,4,5,4,4,3,2,4,4,3,5,2,4,3,5,5,4,5,3,5,3,4,4,3,5,1,5,5,5,5,5,4,5,4,5,5,5,4,4,4,1,2,3,5,5,1,2,4,4,5,1,3,4,3,5,1,5
"R097",2,1,5,1,4,5,2,5,1,2,5,5,5,1,1,1,2,5,4,3,2,5,4,2,1,1,1,1,1,2,4,1,5,1,3,5,2,5,1,1,1,5,2,2,4,4,2,5,2,1,5,4,4,4,1,2,3,5,4,2,2,3,5,1,4,5,3,4,4,2,4,4,5,4,1,4,1,4,4,2,4,5,5,1,1,1,3,1,1,2,4,3,4,2,4,5,1,3,2,2
"R098",5,2,1,3,4,5,1,4,4,3,5,3,4,5,5,5,3,3,3,3,4,3,5,4,2,5,2,3,3,3,5,4,3,3,4,4,3,5,5,2,3,2,3,4,5,5,1,4,3,2,2,1,3,1,4,4,4,5,3,4,5,2,2,4,5,5,2,4,3,2,5,2,1,5,3,5,2,5,5,2,5,2,4,5,1,2,1,5,5,5,5,3,2,2,2,5,2,1,5,2
"R099",4,1,3,2,2,2,1,5,2,5,3,1,2,2,4,4,5,5,4,3,3,4,5,5,1,2,1,3,5,3,3,1,4,4,2,2,1,5,4,1,4,1,2,2,5,4,4,5,5,2,4,4,4,4,2,3,2,5,4,3,2,1,4,4,3,2,1,5,5,3,2,1,5,4,5,5,3,5,5,2,4,3,5,1,1,4,2,2,4,1,5,1,5,5,5,3,2,3,3,4
"R100",4,4,3,4,4,3,4,5,5,5,1,3,5,5,5,2,3,3,3,4,4,3,4,4,3,2,3,3,2,5,1,5,5,5,5,3,1,5,5,4,1,2,5,5,5,2,3,4,4,4,3,3,4,3,3,3,4,5,5,4,2,3,4,5,4,4,5,5,4,4,1,3,4,4,4,4,2,5,5,5,2,2,3,4,3,5,5,1,5,5,4,4,4,5,5,1,4,5,4,4
"R101",4,1,5,2,5,3,1,1,4,5,1,4,3,3,4,2,4,2,2,4,1,1,4,5,2,3,3,1,3,5,5,1,1,2,4,4,1,3,4,3,3,2,3,2,5,4,2,1,5,4,1,2,4,5,4,1,2,2,4,5,1,2,3,2,5,3,2,3,3,4,1,3,3,4,4,5,4,2,4,4,2,2,3,3,4,1,1,3,3,3,3,1,4,3,4,1,1,5,3,5
"R102",4,4,4,4,4,2,4,3,2,3,2,4,3,4,4,2,3,5,4,3,2,5,4,1,3,1,4,3,4,4,2,5,4,5,4,1,3,5,2,4,4,5,5,4,4,4,3,5,2,5,4,5,2,1,4,1,4,4,5,3,2,4,4,4,4,2,4,4,2,2,2,2,4,4,1,4,3,5,4,3,3,5,4,5,3,2,4,3,4,2,2,3,2,4,3,1,3,4,3,2
"R103",2,4,4,3,4,3,3,4,3,4,3,4,4,4,4,2,5,5,4,3,3,4,4,3,2,1,3,3,4,3,2,3,1,4,4,3,3,5,3,3,2,3,4,4,4,2,5,5,5,4,3,4,5,3,3,2,5,3,4,3,2,4,4,3,4,2,4,5,4,3,2,4,4,5,4,2,4,5,5,4,2,4,5,4,4,2,3,2,4,4,2,4,4,3,4,2,4,5,5,2
"R104",3,1,5,1,3,2,2,5,2,2,4,1,1,1,4,5,2,3,2,5,3,2,5,5,2,3,2,2,2,3,3,1,3,2,5,4,4,5,4,1,4,1,3,3,4,3,2,1,5,2,4,1,3,4,2,2,3,5,2,4,3,1,5,1,3,2,1,2,2,2,4,4,1,1,4,5,2,3,5,2,2,3,4,1,3,4,2,3,3,4,3,1,5,2,2,2,1,1,5,3
"R105",4,4,4,4,3,4,4,3,5,5,3,4,4,4,3,3,5,4,3,5,4,5,2,2,3,3,4,3,2,3,4,3,4,3,4,5,4,5,3,3,1,4,4,4,5,3,5,5,4,5,3,5,2,2,4,5,5,3,4,3,3,4,4,3,3,4,4,4,4,3,2,4,4,4,4,3,4,5,2,5,3,5,2,4,2,4,4,1,1,4,4,4,4,3,4,3,4,4,3,4
"R106",5,2,3,2,4,4,2,4,3,3,5,4,5,3,3,3,3,3,4,3,3,3,2,3,1,3,1,3,4,5,5,3,3,3,4,5,1,5,3,1,5,3,4,4,4,5,4,5,3,5,5,3,4,3,4,4,1,5,4,4,5,2,4,3,4,5,3,5,3,5,5,4,4,4,4,4,3,4,5,3,5,3,4,2,3,5,2,3,3,3,5,3,3,3,2,5,2,4,3,3
"R107",4,5,4,4,5,1,2,4,4,5,1,5,2,4,5,2,4,5,2,5,4,4,5,4,5,1,3,3,4,5,2,2,2,4,4,1,2,4,4,4,3,4,5,5,5,4,2,5,4,5,1,2,5,2,5,1,4,5,4,5,1,5,4,2,5,1,4,4,4,5,1,5,2,5,4,2,2,5,4,4,1,4,5,4,5,1,2,2,4,4,2,5,4,2,5,1,4,4,5,4
"R108",3,2,3,3,2,5,4,1,3,1,1,5,5,5,4,3,3,1,3,4,4,5,5,1,1,5,5,5,1,4,5,4,2,4,5,5,5,3,4,5,1,5,4,4,3,3,4,5,3,4,2,5,3,1,1,4,5,4,3,3,3,5,3,4,5,5,4,2,1,3,1,5,2,4,3,1,4,5,2,5,1,5,5,1,5,2,5,3,2,2,3,4,3,5,5,3,5,3,1,5
"R109",4,5,5,4,3,2,1,5,5,4,3,3,4,4,5,4,3,5,4,2,3,4,2,4,4,2,4,2,5,4,2,4,5,2,4,3,2,5,4,5,2,2,5,5,4,5,3,5,5,5,3,3,3,4,3,2,3,4,5,5,1,2,5,2,5,2,4,5,5,2,2,2,5,4,5,2,3,5,5,2,2,4,3,4,2,1,4,2,5,3,2,4,5,5,2,3,4,5,5,2
"R110",5,4,3,3,5,2,2,5,5,5,5,4,4,4,5,5,3,1,5,4,1,5,5,5,1,4,4,3,4,5,3,1,4,3,4,4,2,5,5,2,4,4,4,4,4,5,4,5,5,4,5,5,1,5,3,5,5,5,5,4,1,2,5,5,3,5,5,4,5,5,5,3,2,5,5,5,4,5,5,4,3,5,3,5,2,2,4,3,5,4,4,4,4,4,3,1,4,4,5,5
"R111",5,4,4,2,4,5,5,5,3,4,5,4,5,5,3,4,2,4,2,2,4,5,4,3,1,4,3,5,3,3,4,4,5,1,4,5,5,5,4,4,4,4,4,3,4,5,2,4,4,3,4,4,4,3,2,5,4,3,4,4,3,4,4,4,3,5,5,4,3,5,5,4,4,4,3,3,2,4,5,3,4,5,5,1,1,5,2,2,4,3,5,4,5,1,4,5,2,5,5,1
"R112",4,2,4,1,4,4,2,3,4,4,4,3,4,2,2,4,3,3,2,4,3,5,4,3,2,4,3,3,4,4,4,1,4,3,4,4,2,5,2,4,2,4,4,4,4,4,4,4,3,4,4,5,4,3,4,4,4,3,4,2,2,2,4,2,4,4,2,4,4,4,4,4,5,3,4,3,4,4,2,4,4,5,4,2,2,3,4,2,3,3,4,3,4,3,4,3,3,4,4,3
"R113",4,4,3,4,4,2,2,4,5,4,3,5,3,4,4,4,4,3,4,4,5,4,4,2,2,2,4,2,3,4,4,4,3,4,4,4,4,4,4,2,2,4,3,4,4,4,3,5,5,5,5,3,3,2,2,3,4,4,3,2,3,4,3,4,4,4,4,4,2,4,3,3,4,4,3,4,3,4,4,3,4,3,4,4,3,3,4,1,4,4,4,4,4,4,4,2,4,5,2,3
"R114",4,2,4,3,4,3,1,5,5,5,4,3,4,3,4,3,3,4,3,2,4,3,4,3,4,4,3,4,3,4,4,3,4,3,3,4,1,2,4,5,4,1,4,4,4,5,3,4,4,4,5,4,3,2,3,2,3,5,3,4,4,2,5,3,3,4,2,3,5,5,3,3,2,3,4,4,3,2,1,1,4,3,3,2,4,4,5,2,4,3,5,2,4,3,3,4,2,2,5,5
"R115",3,5,5,4,5,2,4,4,2,4,1,5,4,4,4,2,4,5,4,5,3,5,5,2,3,1,3,1,2,4,1,4,2,4,5,2,5,5,4,4,1,5,5,4,4,2,4,5,4,5,2,5,5,4,3,1,5,5,5,5,1,4,3,4,4,1,4,5,3,4,1,4,3,5,4,3,3,5,4,4,1,5,5,2,3,1,3,2,4,4,2,4,3,4,5,1,4,2,4,4
"R116",4,2,3,1,5,5,1,3,5,4,3,5,5,3,5,1,5,4,1,5,4,3,2,2,1,3,2,3,3,5,4,1,4,1,5,5,1,5,4,4,4,5,4,4,4,5,5,2,2,5,5,5,5,4,3,3,3,1,4,1,1,1,4,1,4,5,2,5,5,5,4,5,5,4,3,5,5,5,2,5,5,5,5,4,2,1,2,3,1,5,5,1,5,1,5,5,2,1,3,4
"R117",4,5,4,4,5,2,2,3,2,1,3,5,5,5,5,3,4,5,5,5,5,5,5,2,3,1,4,1,3,4,2,5,3,5,5,3,5,5,5,5,3,4,3,4,5,4,4,5,4,5,5,4,2,3,4,2,2,3,2,3,2,3,4,4,5,3,2,3,1,5,3,5,2,4,1,2,2,5,5,2,3,5,2,5,2,2,4,1,2,4,2,5,5,5,2,3,2,1,5,5
"R118",5,2,5,1,2,4,1,5,2,3,3,1,4,4,5,2,4,5,5,2,1,2,2,4,1,1,5,3,5,2,3,1,5,5,4,5,2,5,4,2,4,1,5,5,5,4,1,5,2,3,5,4,5,1,2,1,2,5,2,4,2,2,5,5,3,5,4,5,1,3,3,4,5,4,4,1,5,5,2,2,1,2,5,3,2,1,5,5,1,5,3,1,5,4,1,3,1,1,5,1
"R119",5,4,4,2,5,4,2,2,5,5,4,2,4,5,5,4,4,1,4,5,4,4,4,3,4,4,4,1,3,5,4,2,2,3,5,4,4,4,5,4,3,1,3,3,4,5,4,3,5,5,4,2,2,4,4,4,5,2,5,4,4,4,5,2,5,4,4,3,4,5,4,2,2,2,5,4,4,5,5,2,3,4,5,4,2,3,2,2,2,5,5,2,5,2,5,4,2,4,3,5
"R120",4,2,1,4,4,3,1,3,4,5,2,2,2,1,5,5,4,5,4,2,4,3,2,2,1,4,2,1,2,5,4,1,3,4,3,4,2,5,5,4,3,2,4,4,4,5,3,5,5,4,3,3,2,5,4,5,2,4,4,4,2,3,3,4,2,3,5,1,5,5,1,2,1,4,5,4,1,5,5,3,2,3,2,4,3,2,1,1,5,3,4,2,5,4,1,1,1,3,4,5
"R121",2,4,5,3,4,2,5,3,5,3,3,3,3,5,2,1,4,5,4,5,3,5,3,2,2,1,5,1,3,3,1,5,5,4,4,1,5,5,2,2,3,3,4,4,5,2,4,5,2,5,4,5,2,2,4,1,5,1,4,3,2,4,5,4,5,1,3,4,3,3,2,4,3,3,5,3,5,5,3,3,2,5,3,2,3,1,3,1,5,3,1,3,4,3,4,1,4,5,3,2
"R122",4,2,5,1,5,4,4,4,5,5,4,4,5,4,5,4,3,4,2,3,3,2,2,3,4,2,3,3,5,5,5,4,3,4,3,5,2,1,5,5,1,4,5,4,5,5,3,5,4,5,5,5,3,3,5,4,4,5,5,2,3,4,2,2,5,5,5,4,3,3,3,4,4,4,3,2,3,4,3,4,5,4,2,3,5,1,4,1,3,4,4,3,4,4,5,3,4,5,2,4
"R123",4,4,5,2,5,5,4,5,2,4,5,4,5,3,1,1,4,5,2,3,1,5,4,3,3,1,1,1,4,4,4,1,4,2,4,5,2,5,1,4,3,4,4,3,2,3,3,5,3,4,3,5,5,3,3,1,5,5,5,2,3,2,5,1,4,5,3,5,1,5,5,4,4,4,1,2,3,4,1,3,4,4,2,2,2,1,5,3,5,2,3,1,5,3,2,4,4,3,2,4
"R124",4,5,4,5,4,5,3,4,4,2,3,4,5,4,4,3,3,4,3,3,4,5,3,1,3,3,4,1,4,3,4,4,3,3,2,4,4,5,4,4,4,2,4,3,4,5,4,5,3,4,4,3,4,4,2,3,3,4,5,1,4,3,4,4,3,5,5,3,3,4,3,4,4,5,4,3,3,4,4,3,4,3,3,5,3,5,5,4,3,3,4,4,5,4,3,4,3,5,3,3
"R125",3,4,4,3,3,2,1,4,5,1,4,1,5,5,3,4,3,4,4,3,2,4,1,2,2,3,4,2,5,2,4,4,3,4,3,3,2,5,2,2,3,1,5,5,4,3,3,4,3,4,4,3,2,4,2,2,4,1,5,4,3,4,4,4,3,3,3,4,4,2,3,2,5,5,3,3,2,3,1,2,3,3,2,4,1,2,4,4,2,3,2,4,3,4,3,3,4,5,4,2
"R126",2,3,4,3,4,2,4,2,5,5,2,3,4,3,4,1,4,4,4,3,3,4,2,4,2,1,2,1,2,2,2,2,4,4,4,2,4,5,4,2,1,2,4,4,4,1,3,4,4,2,2,4,2,3,3,2,5,5,4,3,1,4,4,4,4,2,5,5,5,3,1,3,4,4,4,2,4,3,2,4,2,4,2,1,2,1,2,1,5,2,1,4,4,4,4,1,4,5,5,4
"R127",4,5,5,3,3,4,4,3,2,4,3,3,3,4,3,3,2,2,3,2,3,4,2,5,4,2,3,2,4,2,2,2,3,4,3,4,3,4,4,1,3,2,2,2,1,3,3,5,3,2,4,4,4,4,2,5,3,3,4,1,3,2,5,4,3,3,2,4,4,1,3,2,4,3,2,5,1,4,5,2,5,3,3,2,2,3,4,1,4,2,3,3,5,3,4,2,1,3,2,4
"R128",3,4,2,1,3,3,2,4,3,4,2,1,2,3,4,2,2,3,4,4,4,2,2,3,2,1,2,4,5,4,3,2,3,2,4,4,2,5,4,2,4,2,5,5,4,4,2,4,3,2,4,2,1,3,4,3,3,5,4,3,3,2,2,1,2,3,3,4,3,4,2,2,2,3,4,3,2,5,4,2,2,2,2,4,2,4,2,4,4,5,2,2,5,4,2,3,2,3,3,3
"R129",3,2,5,2,3,3,1,5,4,4,4,3,4,3,4,2,3,3,3,3,2,3,3,2,3,2,2,1,3,3,4,3,3,2,4,3,1,5,4,4,3,4,4,4,4,4,2,4,4,4,3,3,3,2,3,2,3,1,3,3,3,3,4,2,3,2,3,4,2,4,4,3,5,4,4,3,3,4,4,4,4,4,4,2,4,2,2,2,4,2,2,3,4,2,4,3,3,4,4,3
"R130",4,3,4,2,4,4,2,4,4,2,3,3,4,4,3,2,3,4,2,2,4,2,4,4,3,4,2,5,5,2,4,3,4,3,4,4,2,5,4,2,3,2,4,3,4,3,3,5,3,5,2,3,5,2,4,4,3,4,4,3,4,3,4,2,4,3,2,4,5,2,3,2,4,4,4,4,3,5,4,3,3,2,5,2,3,3,2,4,5,3,4,3,4,3,3,3,3,4,4,2
